user_id,0,1,2,3,4,5,
1117597,0,0,0,2,0,0,
1780348,10,4,0,0,2,5,
10642337,0,0,0,0,0,6,
228998,0,0,0,3,0,0,
228998,0,0,0,0,0,0,
3478847,0,0,14,0,0,0,
3478847,0,0,0,0,0,0,
3478847,0,0,0,0,0,0,
3478847,0,0,2,0,0,0,
3478847,0,0,2,0,0,0,
3478847,2,18,1,0,0,0,
3478847,0,0,22,29,0,0,
8255422,0,0,0,0,0,0,
8255422,0,0,0,0,1,0,
8255422,0,0,0,0,0,0,
8255422,0,0,0,0,0,0,
8255422,0,1,0,0,0,0,
1584318,26,14,0,26,1,0,
15046660,0,0,0,0,0,0,
5712203,0,0,0,0,0,0,
5712203,0,0,0,0,0,0,
13970565,0,0,0,0,0,0,
13970565,0,0,0,0,0,0,
4524702,0,0,0,0,2,0,
4492809,58,0,0,68,0,0,
4492809,2,4,1,1,0,0,
4492809,0,4,0,0,76,0,
4492809,0,9,2,0,8,0,
4492809,0,0,0,0,0,0,
4492809,0,7,12,0,0,0,
4492809,0,0,0,0,0,0,
4492809,7,6,24,0,0,0,
4492809,63,4,2,30,0,40,
4492809,0,3,5,5,40,0,
4492809,8,0,0,1,2,7,
125752,57,0,0,56,0,0,
5582151,8,2,0,1,0,0,
5582151,10,0,0,28,7,150,
5582151,0,0,0,16,0,2,
5582151,0,0,35,3,0,0,
5582151,0,0,8,0,0,0,
5582151,0,0,0,0,0,0,
5582151,0,0,0,0,0,0,
5582151,0,0,0,6,0,0,
5582151,0,7,1,0,0,0,
12530856,0,0,0,0,0,0,
12530856,0,0,0,0,0,0,
10137,0,0,0,0,0,0,
5312198,1,0,1,0,0,0,
7363758,0,0,0,0,0,0,
2179853,0,1,0,0,1,3,
2179853,0,6,0,0,0,0,
2179853,0,0,0,0,0,0,
2179853,0,0,0,0,0,0,
2179853,0,1,0,0,0,0,
70274,0,0,0,0,0,0,
70274,1,1,0,0,0,0,
10835742,0,0,0,0,0,0,
53812472,0,0,0,1,0,0,
6540837,0,0,9,0,0,0,
6540837,0,0,18,0,0,0,
6540837,0,0,0,0,0,0,
6540837,0,0,0,0,0,0,
6540837,0,2,0,1,10,0,
6540837,0,0,0,0,2,6,
4731542,12,0,0,0,0,0,
4731542,0,0,0,0,0,0,
