user_id,0,1,2,3,4,5,6,7,8,9,10,11,
1117597,0,0,0,0,0,0,0,0,0,0,0,0,
1780348,0,0,0,0,0,0,0,0,0,0,0,1,
10642337,0,0,0,0,0,0,0,0,0,0,0,0,
228998,0,0,0,0,0,0,0,0,0,0,0,0,
3478847,0,0,0,0,0,0,0,0,0,0,2,0,
3478847,4,0,0,0,0,0,0,0,0,0,0,0,
3478847,0,0,0,0,12,0,4,0,0,0,0,0,
3478847,0,0,0,0,0,0,0,0,0,0,12,0,
8255422,0,0,0,0,0,0,0,0,0,0,0,0,
8255422,0,0,0,0,0,0,0,0,0,0,0,0,
8255422,0,0,0,0,0,0,0,0,0,0,0,0,
1584318,0,0,0,0,0,0,0,1,11,11,4,2,
15046660,0,0,0,0,0,0,0,0,0,0,0,0,
5712203,0,0,0,0,0,0,0,0,0,0,0,0,
13970565,0,0,0,0,0,0,0,0,0,0,0,0,
4524702,0,0,0,0,0,0,0,0,0,0,0,0,
4492809,3,1,2,2,0,13,4,1,0,8,9,0,
4492809,2,6,0,0,0,0,3,1,2,2,0,13,
4492809,13,9,0,0,0,0,2,6,0,0,0,0,
4492809,8,4,13,11,16,29,13,9,0,0,0,0,
4492809,0,1,1,0,7,7,8,4,13,11,16,29,
4492809,0,0,0,0,0,4,0,1,1,0,7,7,
125752,0,0,0,0,0,0,0,0,0,8,8,0,
5582151,0,8,0,0,4,4,5,1,9,1,0,0,
5582151,0,0,0,0,0,0,0,8,0,0,4,4,
5582151,0,0,0,0,0,0,0,0,0,0,0,0,
5582151,3,1,0,6,0,0,0,0,0,0,0,0,
5582151,0,0,0,0,0,0,3,1,0,6,0,0,
12530856,0,0,0,0,1,0,0,0,0,0,0,0,
10137,0,0,0,0,0,0,0,0,0,0,0,0,
5312198,0,0,0,0,0,0,0,0,1,1,0,0,
7363758,0,0,0,0,0,0,0,0,0,0,0,0,
2179853,0,0,0,0,0,0,0,0,0,0,0,0,
2179853,0,0,0,0,0,0,0,0,0,0,0,0,
2179853,0,0,0,0,0,0,0,0,0,0,0,0,
70274,0,0,0,0,0,0,1,0,0,0,0,0,
10835742,0,0,0,0,0,0,0,0,0,0,0,0,
53812472,0,0,0,0,0,0,0,0,0,0,0,0,
6540837,0,0,0,0,0,0,0,4,0,0,1,0,
6540837,0,0,0,0,0,1,0,0,0,0,0,0,
6540837,0,0,0,0,0,0,0,0,0,0,0,1,
4731542,0,0,0,0,0,0,0,0,0,0,0,0,
4731542,0,0,0,0,0,0,0,0,0,0,0,0,
1425269,0,0,0,0,0,0,0,0,0,0,0,0,
1425269,0,1,0,0,0,0,0,0,0,0,0,0,
1425269,0,0,0,0,0,0,0,1,0,0,0,0,
1425269,0,0,0,1,1,0,0,0,0,0,0,0,
1425269,0,0,0,0,0,0,0,0,0,1,1,0,
1425269,0,0,0,0,0,0,0,0,0,0,0,0,
5285727,0,3,3,1,0,0,0,2,0,0,0,0,
5285727,0,0,0,0,0,0,0,3,3,1,0,0,
5888932,0,0,1,0,0,0,0,0,0,0,0,0,
5888932,0,0,0,0,0,0,0,0,1,0,0,0,
1470603,0,0,0,0,0,0,0,0,0,0,0,0,
18666312,0,1,1,0,0,0,0,0,0,0,0,3,
18666312,0,0,0,0,0,0,0,1,1,0,0,0,
18666312,0,0,0,8,0,0,0,0,0,0,0,0,
18666312,0,0,0,0,0,0,0,0,0,8,0,0,
36884713,0,0,0,0,0,0,0,0,0,0,0,0,
2241676,0,0,0,0,0,0,0,2,1,0,0,0,
718384,0,0,0,0,0,0,0,0,0,0,0,0,
718384,0,0,0,0,0,0,0,0,0,0,0,0,
20482960,0,0,0,0,0,4,0,0,0,0,1,0,
20482960,15,7,0,0,0,2,0,0,0,0,0,4,
20482960,1,0,25,2,0,6,15,7,0,0,0,2,
