user_id,0,1,2,3,4,5,6,7,8,9,10,11,
1117597,0,0,0,0,0,0,0,0,0,0,0,0,
1780348,0,0,0,0,0,0,0,0,0,0,0,1,
10642337,0,0,0,0,0,0,0,0,0,0,0,0,
228998,0,0,0,0,0,0,0,0,0,0,0,0,
3478847,0,0,0,0,0,0,0,1,0,0,2,1,
3478847,0,0,0,0,18,0,8,4,0,0,0,0,
8255422,0,0,0,0,0,0,0,0,0,0,0,0,
8255422,0,0,0,0,0,0,0,0,0,0,0,0,
1584318,0,0,0,0,0,0,0,1,11,11,4,2,
15046660,0,0,0,0,0,0,0,0,0,0,0,0,
5712203,0,0,0,0,0,0,0,0,0,0,0,0,
13970565,0,0,0,0,0,0,0,0,0,0,0,0,
4524702,0,0,0,0,0,0,0,0,0,0,0,0,
4492809,1,1,3,2,0,13,2,1,0,7,9,0,
4492809,11,3,0,0,0,0,2,6,0,0,0,0,
4492809,0,1,1,0,1,7,7,4,8,6,13,15,
125752,0,0,0,0,0,0,0,0,0,8,8,0,
5582151,0,6,0,0,4,4,10,2,10,1,0,1,
5582151,0,1,0,0,0,0,0,0,0,0,0,0,
5582151,0,0,0,0,0,0,3,1,0,7,0,0,
12530856,0,0,0,0,1,0,0,0,0,0,0,0,
10137,0,0,0,0,0,0,0,0,0,0,0,0,
5312198,0,0,0,0,0,0,0,0,1,1,0,0,
7363758,0,0,0,0,0,0,0,0,0,0,0,0,
2179853,0,0,0,0,0,0,0,0,0,0,0,0,
2179853,0,0,0,0,0,0,0,0,0,0,0,0,
70274,0,0,0,0,0,0,1,0,0,0,0,0,
10835742,0,0,0,0,0,0,0,0,0,0,0,0,
53812472,0,0,0,0,0,0,0,0,0,0,0,0,
6540837,0,0,0,0,0,0,0,4,0,0,1,0,
6540837,0,0,0,0,0,0,0,0,0,0,0,1,
4731542,0,0,0,0,0,0,0,0,0,0,0,0,
1425269,0,0,0,0,0,0,0,0,0,0,0,0,
1425269,0,0,0,0,0,0,0,1,0,0,0,0,
1425269,0,0,0,0,0,0,0,0,0,1,1,0,
5285727,0,3,3,1,0,0,0,2,0,0,0,0,
5888932,0,0,1,0,0,0,0,0,0,0,0,0,
1470603,0,0,0,0,0,0,0,0,0,0,0,0,
18666312,0,1,1,0,0,0,0,0,0,0,0,3,
18666312,0,0,0,14,4,2,0,0,0,0,0,0,
36884713,0,0,0,0,0,0,0,0,0,0,0,0,
2241676,0,0,0,0,0,0,0,2,1,0,0,0,
718384,0,0,0,0,0,0,0,0,0,0,0,0,
20482960,0,0,0,0,0,6,0,0,0,0,1,0,
20482960,1,0,29,2,0,6,15,8,0,0,0,2,
20482960,3,0,0,1,13,3,22,3,8,0,1,0,
20482960,8,0,0,2,0,1,6,0,0,0,3,0,
20482960,0,0,0,0,0,1,0,1,0,0,0,0,
940521,0,0,0,0,0,0,0,0,0,0,0,0,
6035284,0,0,0,0,0,0,0,2,0,0,0,0,
6368040,0,0,0,0,0,0,0,0,0,0,0,0,
26384082,0,0,0,0,0,0,0,0,0,0,0,0,
2346494,0,0,0,0,0,0,0,0,1,0,0,0,
228859,2,0,1,0,0,2,0,0,1,0,0,0,
228859,1,0,1,0,2,0,2,3,0,9,2,0,
228859,0,0,0,0,5,2,0,1,0,0,2,1,
228859,0,0,5,5,1,7,3,12,4,3,1,0,
228859,11,20,27,1,11,22,27,33,23,7,6,0,
525590,0,0,0,13,2,0,0,0,0,0,0,0,
863327,0,0,0,0,0,0,0,0,0,0,0,0,
3056077,0,0,0,0,0,0,0,0,0,0,0,0,
8223335,0,0,0,0,0,0,0,0,0,0,0,0,
8655789,0,0,0,0,0,0,0,0,0,0,0,0,
8655789,0,0,0,0,0,0,0,0,0,0,0,0,
8655789,0,0,0,0,0,0,0,0,0,0,0,0,
8655789,0,0,0,0,0,0,0,0,0,0,0,0,
