user_id,0,1,2,3,4,5,6,7,8,9,10,11,
1117597,0,0,0,0,0,0,0,0,0,0,2,0,
1780348,0,0,0,0,0,0,0,0,40,26,0,8,
10642337,0,0,0,0,0,0,0,0,1,0,0,6,
228998,0,0,0,0,0,0,0,0,0,0,3,0,
3478847,0,2,0,0,0,0,0,0,0,0,20,0,
3478847,20,1,0,0,6,0,0,2,0,0,0,0,
3478847,0,0,0,0,117,0,20,1,0,0,6,0,
3478847,0,0,0,0,0,0,0,0,0,0,117,0,
8255422,0,0,0,0,0,0,0,0,2,0,0,0,
8255422,0,0,0,1,0,0,0,0,0,0,0,0,
8255422,0,0,0,0,0,0,0,0,0,1,0,0,
1584318,0,0,0,0,0,0,0,4,110,77,26,10,
15046660,0,0,0,0,0,0,0,0,0,0,0,0,
5712203,0,0,0,0,1,0,0,0,0,0,0,0,
13970565,0,0,0,0,0,0,0,0,0,0,0,0,
4524702,0,0,0,0,0,0,0,0,2,0,0,2,
4492809,9,2,8,4,0,76,6,3,0,58,69,0,
4492809,7,12,0,0,0,0,9,2,8,4,0,76,
4492809,13,24,0,0,0,0,7,12,0,0,0,0,
4492809,3,10,94,100,32,45,13,24,0,0,0,0,
4492809,23,59,12,8,1,23,3,10,94,100,32,45,
4492809,0,0,0,0,0,9,23,59,12,8,1,23,
125752,0,0,0,0,0,0,0,0,2,57,56,0,
5582151,0,38,0,0,16,6,10,28,164,10,2,0,
5582151,0,0,0,0,12,0,0,38,0,0,16,6,
5582151,0,6,0,0,0,0,0,0,0,0,12,0,
5582151,9,22,0,7,1,0,0,6,0,0,0,0,
5582151,0,0,0,0,0,0,9,22,0,7,1,0,
12530856,0,0,0,0,9,0,0,0,0,0,0,0,
10137,0,0,0,0,0,0,0,0,0,0,0,2,
5312198,0,0,0,0,0,0,0,0,2,4,2,0,
7363758,0,0,0,0,0,0,5,0,0,0,0,0,
2179853,0,0,0,0,0,0,6,0,0,2,0,6,
2179853,11,0,2,1,0,0,0,0,0,0,0,0,
2179853,0,0,0,0,0,0,11,0,2,1,0,0,
70274,0,0,0,0,0,0,2,1,0,0,0,0,
10835742,0,0,0,0,0,0,0,0,9,0,0,0,
53812472,0,0,0,0,0,0,0,0,3,0,1,0,
6540837,0,0,0,0,0,0,0,18,0,0,11,0,
6540837,0,0,15,2,1,10,0,0,0,0,0,0,
6540837,0,0,0,0,0,4,0,0,15,2,1,10,
4731542,0,0,0,0,0,0,0,0,0,18,0,0,
4731542,0,0,0,0,0,0,0,0,0,0,0,0,
1425269,0,0,0,0,0,0,0,0,0,0,0,0,
1425269,0,1,4,0,0,0,0,0,0,0,0,0,
1425269,0,0,4,18,0,0,0,1,4,0,0,0,
1425269,0,0,0,61,5,0,0,0,4,18,0,0,
1425269,0,0,1,0,0,0,0,0,0,61,5,0,
1425269,0,0,0,0,0,0,0,0,1,0,0,0,
5285727,0,13,37,9,1,1,2,30,2,3,0,0,
5285727,0,0,0,0,1,2,0,13,37,9,1,1,
5888932,0,3,18,0,0,0,0,0,0,1,0,0,
5888932,0,0,0,0,12,6,0,3,18,0,0,0,
1470603,0,0,0,0,0,0,0,0,1,0,4,0,
18666312,0,3,0,18,0,0,0,0,1,0,0,9,
18666312,4,0,0,0,0,0,0,3,0,18,0,0,
18666312,2,0,1,0,4,5,4,0,0,0,0,0,
18666312,0,0,0,0,0,0,2,0,1,0,4,5,
36884713,0,0,0,0,0,0,0,0,0,0,0,0,
2241676,0,0,0,0,0,0,0,10,4,0,0,0,
718384,0,0,4,0,3,0,0,1,0,2,0,2,
718384,0,0,0,0,0,0,0,0,4,0,3,0,
20482960,0,0,0,0,0,10,0,0,0,0,1,0,
20482960,94,72,0,0,0,6,0,0,0,0,0,10,
20482960,1,0,118,19,0,4,94,72,0,0,0,6,
20482960,255,3,65,0,1,2,1,0,118,19,0,4,
20482960,81,0,0,3,68,9,255,3,65,0,1,2,
20482960,24,0,2,0,24,0,81,0,0,3,68,9,
20482960,40,0,0,4,0,1,24,0,2,0,24,0,
20482960,0,8,0,0,0,0,40,0,0,4,0,1,
20482960,0,0,0,3,0,5,0,8,0,0,0,0,
940521,0,0,0,0,0,0,0,0,0,0,0,0,
6035284,0,0,0,0,0,0,0,2,0,0,0,0,
6368040,0,0,1,0,0,0,0,0,0,0,0,0,
6368040,0,0,0,0,0,0,0,0,1,0,0,0,
26384082,15,19,12,19,8,20,16,25,8,2,19,4,
26384082,0,0,0,0,0,39,15,19,12,19,8,20,
2346494,0,0,0,0,0,42,0,0,3,0,0,0,
2346494,0,0,0,0,0,0,0,0,0,0,0,42,
228859,5,0,5,18,6,4,0,0,3,0,0,0,
228859,12,10,27,54,8,3,5,0,5,18,6,4,
228859,2,6,16,4,44,37,12,10,27,54,8,3,
228859,0,16,7,4,11,29,2,6,16,4,44,37,
228859,3,3,6,23,26,17,0,16,7,4,11,29,
228859,14,14,17,15,7,0,3,3,6,23,26,17,
228859,2,0,8,33,2,12,14,14,17,15,7,0,
228859,116,206,215,80,29,0,2,0,8,33,2,12,
228859,35,54,311,31,63,92,116,206,215,80,29,0,
228859,0,0,0,0,0,0,35,54,311,31,63,92,
525590,0,0,0,130,10,0,0,0,0,0,0,4,
525590,0,0,0,0,0,0,0,0,0,130,10,0,
863327,0,0,0,1,0,0,0,0,0,0,0,1,
3056077,0,0,0,0,0,0,0,0,0,0,0,0,
8223335,0,0,0,0,0,0,0,2,0,0,0,0,
8655789,0,9,0,0,0,0,0,0,1,0,0,0,
8655789,0,0,1,0,0,0,0,9,0,0,0,0,
8655789,0,1,0,9,0,0,0,0,1,0,0,0,
8655789,9,0,1,0,0,0,0,1,0,9,0,0,
8655789,0,2,0,3,7,10,9,0,1,0,0,0,
8655789,0,1,1,6,0,0,0,2,0,3,7,10,
8655789,0,8,0,0,0,0,0,1,1,6,0,0,
8655789,52,34,1,13,1,9,0,8,0,0,0,0,
8655789,34,23,31,38,55,44,52,34,1,13,1,9,
8655789,0,0,0,3,22,32,34,23,31,38,55,44,
9397454,3,0,0,0,0,0,0,0,0,8,0,0,
9397454,0,0,0,0,0,0,3,0,0,0,0,0,
18707623,0,0,0,0,0,0,0,0,0,0,0,0,
18707623,0,0,0,0,0,0,0,0,0,0,0,0,
18707623,0,0,0,0,0,0,0,0,0,0,0,0,
5024543,0,0,0,0,0,0,0,0,2,0,0,0,
16749003,0,0,0,0,0,0,2,0,0,3,0,0,
23654732,0,0,0,0,0,0,0,0,0,0,0,0,
23654732,0,0,2,0,0,0,0,0,0,0,0,0,
23654732,0,0,0,0,0,0,0,0,2,0,0,0,
4209122,0,0,0,0,15,0,2,0,0,0,1,0,
595774,0,0,0,4,3,0,0,0,0,0,7,14,
595774,1,0,0,0,0,0,0,0,0,4,3,0,
595774,0,0,4,3,0,0,1,0,0,0,0,0,
595774,0,0,0,0,0,0,0,0,4,3,0,0,
