user_id,start_day,end_day,
2358483,2020-08-23,2020-12-21,
2358483,2020-04-25,2020-08-23,
2358483,2019-12-27,2020-04-25,
2358483,2019-08-29,2019-12-27,
2358483,2019-05-01,2019-08-29,
2358483,2019-01-01,2019-05-01,
2358483,2018-09-03,2019-01-01,
2358483,2018-05-06,2018-09-03,
7021552,2020-12-28,2021-04-27,
1117597,2021-01-25,2021-05-25,
1117597,2020-09-27,2021-01-25,
1117597,2020-05-30,2020-09-27,
1117597,2020-01-31,2020-05-30,
20148872,2021-02-08,2021-06-08,
47534937,2021-02-15,2021-06-15,
33237569,2021-05-10,2021-09-07,
33237569,2021-01-10,2021-05-10,
33237569,2020-09-12,2021-01-10,
33237569,2020-05-15,2020-09-12,
33237569,2020-01-16,2020-05-15,
33237569,2019-09-18,2020-01-16,
33237569,2019-05-21,2019-09-18,
33237569,2019-01-21,2019-05-21,
33237569,2018-09-23,2019-01-21,
33237569,2018-05-26,2018-09-23,
39497902,2021-05-31,2021-09-28,
39497902,2021-01-31,2021-05-31,
39497902,2020-10-03,2021-01-31,
39497902,2020-06-05,2020-10-03,
39497902,2020-02-06,2020-06-05,
39497902,2019-10-09,2020-02-06,
39497902,2019-06-11,2019-10-09,
39497902,2019-02-11,2019-06-11,
39497902,2018-10-14,2019-02-11,
39497902,2018-06-16,2018-10-14,
4411489,2021-03-22,2021-07-20,
4411489,2020-11-22,2021-03-22,
4411489,2020-07-25,2020-11-22,
4411489,2020-03-27,2020-07-25,
4411489,2019-11-28,2020-03-27,
4411489,2019-07-31,2019-11-28,
4411489,2019-04-02,2019-07-31,
4411489,2018-12-03,2019-04-02,
17039389,2021-05-31,2021-09-28,
17039389,2021-01-31,2021-05-31,
17039389,2020-10-03,2021-01-31,
17039389,2020-06-05,2020-10-03,
17039389,2020-02-06,2020-06-05,
17039389,2019-10-09,2020-02-06,
49699333,2021-04-19,2021-08-17,
49699333,2020-12-20,2021-04-19,
49699333,2020-08-22,2020-12-20,
49699333,2020-04-24,2020-08-22,
49699333,2019-12-26,2020-04-24,
49699333,2019-08-28,2019-12-26,
10477073,2021-04-19,2021-08-17,
10477073,2020-12-20,2021-04-19,
10477073,2020-08-22,2020-12-20,
10477073,2020-04-24,2020-08-22,
10477073,2019-12-26,2020-04-24,
61449322,2021-05-10,2021-09-07,
61449322,2021-01-10,2021-05-10,
61449322,2020-09-12,2021-01-10,
61449322,2020-05-15,2020-09-12,
61449322,2020-01-16,2020-05-15,
52183359,2021-05-31,2021-09-28,
52183359,2021-01-31,2021-05-31,
52183359,2020-10-03,2021-01-31,
52183359,2020-06-05,2020-10-03,
51172624,2021-05-17,2021-09-14,
51172624,2021-01-17,2021-05-17,
51172624,2020-09-19,2021-01-17,
51172624,2020-05-22,2020-09-19,
63862647,2021-04-19,2021-08-17,
63862647,2020-12-20,2021-04-19,
