user_id,start_day,end_day,
1117597,2018-07-08,2018-08-07,
1780348,2018-07-08,2018-08-07,
10642337,2018-07-15,2018-08-14,
228998,2018-08-05,2018-09-04,
228998,2018-07-06,2018-08-05,
3478847,2019-02-17,2019-03-19,
3478847,2019-01-18,2019-02-17,
3478847,2018-12-19,2019-01-18,
3478847,2018-11-19,2018-12-19,
3478847,2018-10-20,2018-11-19,
3478847,2018-09-20,2018-10-20,
3478847,2018-08-21,2018-09-20,
8255422,2019-02-17,2019-03-19,
8255422,2019-01-18,2019-02-17,
8255422,2018-12-19,2019-01-18,
8255422,2018-11-19,2018-12-19,
8255422,2018-10-20,2018-11-19,
1584318,2019-03-10,2019-04-09,
15046660,2019-03-24,2019-04-23,
5712203,2019-03-31,2019-04-30,
5712203,2019-03-01,2019-03-31,
13970565,2019-03-31,2019-04-30,
13970565,2019-03-01,2019-03-31,
4524702,2019-03-31,2019-04-30,
4492809,2019-05-05,2019-06-04,
4492809,2019-04-05,2019-05-05,
4492809,2019-03-06,2019-04-05,
4492809,2019-02-04,2019-03-06,
4492809,2019-01-05,2019-02-04,
4492809,2018-12-06,2019-01-05,
4492809,2018-11-06,2018-12-06,
4492809,2018-10-07,2018-11-06,
4492809,2018-09-07,2018-10-07,
4492809,2018-08-08,2018-09-07,
4492809,2018-07-09,2018-08-08,
125752,2019-05-05,2019-06-04,
5582151,2019-05-19,2019-06-18,
5582151,2019-04-19,2019-05-19,
5582151,2019-03-20,2019-04-19,
5582151,2019-02-18,2019-03-20,
5582151,2019-01-19,2019-02-18,
5582151,2018-12-20,2019-01-19,
5582151,2018-11-20,2018-12-20,
5582151,2018-10-21,2018-11-20,
5582151,2018-09-21,2018-10-21,
12530856,2019-05-19,2019-06-18,
12530856,2019-04-19,2019-05-19,
10137,2019-05-26,2019-06-25,
5312198,2019-05-26,2019-06-25,
7363758,2019-06-09,2019-07-09,
2179853,2019-06-30,2019-07-30,
2179853,2019-05-31,2019-06-30,
