user id,start day,end day,days,is_churner,
10029430,2018-09-25,2018-09-25,0,1,
19514362,2018-09-25,2018-09-25,0,1,
7596288,2018-09-25,2018-09-25,0,1,
2905978,2018-09-04,2018-10-02,28,1,
6859287,2018-09-18,2018-10-02,14,1,
10203350,2018-09-25,2018-10-02,7,1,
5266561,2018-09-25,2018-10-02,7,1,
14230164,2018-10-02,2018-10-02,0,1,
39304052,2018-10-02,2018-10-02,0,1,
29154684,2018-10-02,2018-10-02,0,1,
1446829,2018-06-19,2018-10-09,112,1,
111569,2018-10-09,2018-10-09,0,1,
29258916,2018-08-07,2018-10-09,63,1,
3607110,2018-08-14,2018-10-09,56,1,
795761,2018-08-21,2018-10-09,49,1,
1273326,2018-09-18,2018-10-09,21,1,
14118503,2018-09-25,2018-10-09,14,1,
16919272,2018-10-02,2018-10-09,7,1,
137471,2018-10-09,2018-10-09,0,1,
595774,2018-08-28,2018-10-16,49,1,
1269759,2018-08-28,2018-10-16,49,1,
14010766,2018-09-11,2018-10-16,35,1,
16191105,2018-10-09,2018-10-16,7,1,
5871646,2018-10-09,2018-10-16,7,1,
6471886,2018-10-16,2018-10-16,0,1,
1547796,2018-10-16,2018-10-16,0,1,
1099409,2018-10-16,2018-10-16,0,1,
19955577,2018-10-16,2018-10-16,0,1,
25529496,2018-10-16,2018-10-16,0,1,
12891691,2018-10-16,2018-10-16,0,1,
15227113,2018-08-14,2018-10-23,70,1,
1479651,2018-09-18,2018-10-23,35,1,
13723264,2018-09-18,2018-10-23,35,1,
1227610,2018-10-16,2018-10-23,7,1,
6625584,2018-10-16,2018-10-23,7,1,
29034546,2018-10-16,2018-10-23,7,1,
10079537,2018-10-23,2018-10-23,0,1,
812947,2018-10-23,2018-10-23,0,1,
265229,2018-10-23,2018-10-23,0,1,
142074,2018-10-23,2018-10-30,7,1,
29201185,2018-10-23,2018-10-30,7,1,
7684174,2018-10-30,2018-10-30,0,1,
8791187,2018-10-30,2018-10-30,0,1,
307739,2018-10-30,2018-10-30,0,1,
5362577,2018-10-30,2018-10-30,0,1,
698354,2018-10-16,2018-11-06,21,1,
1117597,2018-07-03,2018-11-06,126,1,
1780348,2018-07-03,2018-11-06,126,1,
2459423,2018-07-31,2018-11-06,98,1,
20657639,2018-08-14,2018-11-06,84,1,
30693550,2018-10-02,2018-11-06,35,1,
1978793,2018-10-09,2018-11-06,28,1,
8146561,2018-10-23,2018-11-06,14,1,
15150444,2018-10-30,2018-11-06,7,1,
33437163,2018-10-30,2018-11-06,7,1,
11967792,2018-11-06,2018-11-06,0,1,
10920920,2018-11-06,2018-11-06,0,1,
32444530,2018-11-06,2018-11-06,0,1,
7363758,2018-11-06,2018-11-06,0,1,
1502599,2018-11-06,2018-11-06,0,1,
6955013,2018-11-06,2018-11-06,0,1,
10642337,2018-07-17,2018-11-13,119,1,
28497542,2018-11-13,2018-11-13,0,1,
479998,2018-11-13,2018-11-13,0,1,
8174335,2018-11-13,2018-11-13,0,1,
43613279,2018-11-13,2018-11-13,0,1,
19874077,2018-11-13,2018-11-13,0,1,
1850902,2018-11-20,2018-11-20,0,1,
3246776,2018-11-20,2018-11-20,0,1,
10778111,2018-11-20,2018-11-27,7,1,
10137,2018-11-20,2018-11-27,7,1,
233995,2018-11-27,2018-11-27,0,1,
30450751,2018-11-27,2018-11-27,0,1,
507130,2018-11-27,2018-11-27,0,1,
8973217,2018-11-27,2018-11-27,0,1,
782180,2018-11-27,2018-11-27,0,1,
2173213,2018-11-27,2018-11-27,0,1,
6631304,2018-11-27,2018-11-27,0,1,
228998,2018-06-19,2018-12-04,168,1,
32525285,2018-12-04,2018-12-04,0,1,
1295082,2018-12-04,2018-12-04,0,1,
1977850,2018-09-11,2018-12-11,91,1,
26854721,2018-11-27,2018-12-11,14,1,
1669671,2018-12-11,2018-12-11,0,1,
2284267,2018-12-11,2018-12-11,0,1,
45081730,2018-12-11,2018-12-11,0,1,
30415,2018-12-11,2018-12-11,0,1,
18327836,2018-12-18,2018-12-18,0,1,
11623486,2018-12-18,2018-12-18,0,1,
3274291,2018-12-04,2018-12-25,21,1,
2185965,2018-12-11,2018-12-25,14,1,
3834130,2018-12-18,2018-12-25,7,1,
37095714,2018-12-25,2018-12-25,0,1,
5181058,2018-12-25,2018-12-25,0,1,
